ACCOUNT_NAME,BILLINGSTREET,BILLINGCITY,BILLINGSTATE,BILLINGPOSTALCODE,BILLINGCOUNTRY,PHONE,WEBSITE,ANNUALREVENUE
Jewell-Osco,1955 W. Norht Avenue,Melrose Park,IL,60160,US,708 531 6000,www.jewelosco.com,33485000000
United Airlines,1200 E Algonquin Road,Elk Grove Township,IL,60007,US,847 700 4000,www.united.com,22635000000
"Motorola, Inc.",1303 E. Algonquin Road,Schaumurg,IL,60196,US,847 576 5000,www.motorola.com,21044000000
Abbot Labs,100 Abbot Park Road, Abbot Park,IL,60064,US,847 937 6100,www.abbot.com,13303000000
Walgreen Company,200 Willmount Road,Deerfield,IL,60015,US,847 940 2500,www.walgreens.com,11251000000
"Dominick's Finer Food Inc",711 Jorie Blvd.,Oak Brook,IL,60523,US,604 861 5000,www.dominicks.com,8449000000
Bank One Corp,2 S Dearbourn St, Chicago,IL,60670,US,312 732 4000,www.bankone.com,7750000000
"Sears Roebuck and Co.",3333 Beverly Road,Hoffman Estates,IL,60179,US,847 286 2500,www.sears.com,7071000000
Allstate Ins Co,2775 Sanders Road,Nothbrook,IL,60062,US,847 402 5000,www.allstate.com,5863000000
ABN Amro Noth America Inc.,123 S LaSalle Street,Chicago,IL,60603,US,312 904 2000,www.abnamro.com,3495000000
"Baxter International Inc.",1 Baxter Parkway,Deerfield,IL,600625,US,847 948 2000,www.baxter.com,64818000000
Total: 11
